DeviceID,DeviceName,DeviceType,LocationID,Manufacturer,InstallationDate
1,Device_1,AC,6,Ramakrishnan-Rastogi,2021-11-03
2,Device_2,HVAC,6,"Madan, Bhardwaj and Ramesh",2023-08-04
3,Device_3,HVAC,5,"Chadha, Gokhale and Goswami",2023-10-18
4,Device_4,AC,2,Ramaswamy-Gole,2023-10-02
5,Device_5,Refrigerator,6,Barman-Devi,2022-09-25
6,Device_6,Lighting,3,"Kapur, Borah and Luthra",2020-09-09
7,Device_7,Lighting,1,Som-Dhar,2023-07-07
8,Device_8,Lighting,2,Sura-Loyal,2022-08-26
9,Device_9,AC,1,"Ravel, Ramaswamy and Wadhwa",2020-07-18
10,Device_10,HVAC,3,Datta-Manne,2020-08-21
11,Device_11,AC,4,Randhawa PLC,2025-01-05
12,Device_12,AC,3,Dey and Sons,2025-02-16
13,Device_13,Heater,1,"Mani, Gole and Bajaj",2024-11-03
14,Device_14,HVAC,2,Jha and Sons,2023-03-19
15,Device_15,Heater,5,Shan Inc,2022-09-20
16,Device_16,Washer,6,"Thakur, Bal and Joshi",2025-04-15
17,Device_17,HVAC,3,Kara-Gaba,2025-03-05
18,Device_18,HVAC,2,"Sankaran, Karnik and Bal",2023-11-02
19,Device_19,HVAC,6,Chaudhuri and Sons,2024-06-27
20,Device_20,Lighting,4,"Majumdar, Johal and Dyal",2023-03-02
21,Device_21,Lighting,4,Ranganathan-Ranganathan,2021-04-28
22,Device_22,Heater,6,Sastry-Tella,2021-05-11
23,Device_23,Heater,4,"Zachariah, Dora and Kapoor",2025-01-22
24,Device_24,HVAC,2,Warrior-Keer,2024-01-06
25,Device_25,Heater,3,"Rajan, Sane and Date",2024-10-08
26,Device_26,Lighting,2,"Butala, Zachariah and Chokshi",2022-10-18
27,Device_27,AC,2,"Anne, Kala and Saraf",2025-04-26
28,Device_28,AC,6,Ram Ltd,2022-03-27
29,Device_29,AC,5,Kibe and Sons,2022-10-28
30,Device_30,Heater,5,Chaudhary-Walia,2025-03-11
31,Device_31,Washer,3,Kothari-Butala,2021-12-03
32,Device_32,Lighting,6,Majumdar-Kale,2024-10-05
33,Device_33,Washer,5,Savant-Warrior,2023-06-11
34,Device_34,Heater,4,Dass-Wali,2021-07-06
35,Device_35,Refrigerator,5,"Bhatia, Dugal and Raju",2022-04-15
36,Device_36,HVAC,4,"Chaudhary, Maharaj and Vyas",2021-05-23
37,Device_37,Lighting,3,"Acharya, Lad and Ramesh",2024-06-24
38,Device_38,AC,2,Hayre and Sons,2022-04-09
39,Device_39,Washer,2,Shankar PLC,2022-10-19
40,Device_40,Refrigerator,5,Bhatt Inc,2022-04-25
41,Device_41,Refrigerator,4,Bhagat Ltd,2021-05-08
42,Device_42,Lighting,1,Venkatesh Group,2024-10-22
43,Device_43,Lighting,1,Ramaswamy-Rajan,2024-03-22
44,Device_44,Refrigerator,1,"Kanda, Buch and Singh",2021-08-10
45,Device_45,HVAC,2,Balan-Mammen,2021-01-24
46,Device_46,HVAC,6,"Borah, Kale and Raju",2024-01-22
47,Device_47,Washer,2,Chand LLC,2025-04-10
48,Device_48,HVAC,6,"Sodhi, Chauhan and Grover",2024-01-25
49,Device_49,Refrigerator,4,Wagle-Raju,2021-02-08
50,Device_50,Refrigerator,5,"Dani, Mangal and Wali",2023-06-16
51,Device_51,Heater,1,Majumdar LLC,2023-02-11
52,Device_52,Refrigerator,4,"Hegde, Kari and Bhatti",2023-09-09
53,Device_53,HVAC,4,Sampath and Sons,2023-12-12
54,Device_54,AC,5,Sule-Sehgal,2020-07-16
55,Device_55,Washer,4,"Tata, Sathe and Balasubramanian",2025-03-24
