ConsumptionID,Timestamp,EnergyTypeID,LocationID,DeviceID,WeatherID,EnergyConsumed,Cost,PeakHourFlag,Season
1,2022-01-01 00:00:00,2,4,13,1,19.59,64.03,False,Monsoon
2,2022-01-01 01:00:00,1,6,21,2,10.29,22.9,False,Winter
3,2022-01-01 02:00:00,1,1,90,3,9.37,68.03,False,Autumn
4,2022-01-01 03:00:00,3,3,34,4,15.19,77.45,False,Autumn
5,2022-01-01 04:00:00,4,2,65,5,3.08,47.85,False,Monsoon
6,2022-01-01 05:00:00,2,2,9,6,,62.15,False,Monsoon
7,2022-01-01 06:00:00,1,3,46,7,11.15,46.18,True,Winter
8,2022-01-01 07:00:00,4,1,54,8,2.24,89.52,True,Winter
9,2022-01-01 08:00:00,4,1,78,9,8.65,50.29,True,Autumn
10,2022-01-01 09:00:00,4,5,94,10,17.14,84.34,True,Summer
11,2022-01-01 10:00:00,2,5,71,11,17.19,,True,Autumn
12,2022-01-01 11:00:00,4,5,95,12,2.44,41.64,True,Summer
13,2022-01-01 12:00:00,3,1,42,13,2.27,23.78,False,Monsoon
14,2022-01-01 13:00:00,1,2,59,14,5.62,41.2,False,Summer
15,2022-01-01 14:00:00,4,5,89,15,17.56,82.8,False,Monsoon
16,2022-01-01 15:00:00,1,3,4,16,3.01,23.54,False,Autumn
17,2022-01-01 16:00:00,2,5,98,17,14.54,52.92,False,Monsoon
18,2022-01-01 17:00:00,1,3,7,18,2.47,80.8,False,Winter
19,2022-01-01 18:00:00,4,3,83,19,12.65,35.99,True,Monsoon
20,2022-01-01 19:00:00,2,2,83,20,7.44,64.58,True,Winter
21,2022-01-01 20:00:00,2,6,24,21,15.88,25.32,True,Autumn
22,2022-01-01 21:00:00,2,3,81,22,5.06,11.82,True,Winter
23,2022-01-01 22:00:00,2,5,57,23,12.96,79.64,True,Summer
24,2022-01-01 23:00:00,2,2,83,24,5.1,10.8,True,Monsoon
25,2022-01-02 00:00:00,1,2,18,25,14.42,27.87,False,Winter
26,2022-01-02 01:00:00,4,1,1,26,17.54,85.66,False,Winter
27,2022-01-02 02:00:00,1,3,52,27,2.97,35.3,False,Autumn
28,2022-01-02 03:00:00,4,5,26,28,17.4,97.33,False,Monsoon
29,2022-01-02 04:00:00,2,3,81,29,12.07,97.99,False,Winter
30,2022-01-02 05:00:00,2,5,40,30,2.98,27.56,False,Autumn
31,2022-01-02 06:00:00,3,4,41,31,8.84,5.06,True,Monsoon
32,2022-01-02 07:00:00,3,1,74,32,3.64,70.8,True,Winter
33,2022-01-02 08:00:00,1,2,11,33,14.16,45.65,True,Winter
34,2022-01-02 09:00:00,1,1,15,34,15.3,10.97,True,Monsoon
35,2022-01-02 10:00:00,4,4,21,35,2.56,71.04,True,Summer
36,2022-01-02 11:00:00,4,6,32,36,10.37,4.09,True,Monsoon
37,2022-01-02 12:00:00,3,1,67,37,16.39,87.15,False,Monsoon
38,2022-01-02 13:00:00,3,1,92,38,18.76,14.73,False,Summer
39,2022-01-02 14:00:00,4,4,99,39,10.51,13.6,False,Winter
40,2022-01-02 15:00:00,1,1,84,40,19.03,18.39,False,Monsoon
41,2022-01-02 16:00:00,4,1,98,41,10.95,96.07,False,Summer
42,2022-01-02 17:00:00,1,4,17,42,8.19,69.62,False,Summer
43,2022-01-02 18:00:00,4,4,77,43,17.04,80.34,True,Autumn
44,2022-01-02 19:00:00,2,2,88,44,10.11,40.37,True,Winter
45,2022-01-02 20:00:00,2,6,53,45,9.7,34.29,True,Monsoon
46,2022-01-02 21:00:00,1,5,41,46,10.06,24.21,True,Summer
47,2022-01-02 22:00:00,1,5,58,47,17.01,48.58,True,Winter
48,2022-01-02 23:00:00,1,6,62,48,16.72,55.63,True,Autumn
49,2022-01-03 00:00:00,3,6,95,49,8.37,63.55,False,Monsoon
50,2022-01-03 01:00:00,3,6,18,50,7.0,26.45,False,Summer
51,2022-01-03 02:00:00,4,4,34,51,10.09,94.92,False,Autumn
52,2022-01-03 03:00:00,3,5,23,52,11.67,17.81,False,Autumn
53,2022-01-03 04:00:00,4,3,88,53,5.15,96.6,False,Autumn
54,2022-01-03 05:00:00,4,3,76,54,15.98,2.47,False,Winter
55,2022-01-03 06:00:00,4,3,42,55,9.99,48.63,True,Monsoon
56,2022-01-03 07:00:00,1,2,37,56,7.01,34.0,True,Monsoon
57,2022-01-03 08:00:00,2,6,26,57,2.58,45.46,True,Monsoon
58,2022-01-03 09:00:00,3,6,11,58,5.16,57.5,True,Summer
59,2022-01-03 10:00:00,4,5,54,59,19.01,44.12,True,Autumn
60,2022-01-03 11:00:00,2,1,48,60,6.45,42.07,True,Monsoon
61,2022-01-03 12:00:00,4,4,24,61,3.79,73.54,False,Summer
62,2022-01-03 13:00:00,1,5,51,62,9.48,68.9,False,Summer
63,2022-01-03 14:00:00,4,2,49,63,6.49,83.49,False,Monsoon
64,2022-01-03 15:00:00,3,1,74,64,1.19,25.75,False,Summer
65,2022-01-03 16:00:00,2,6,29,65,6.8,61.34,False,Autumn
66,2022-01-03 17:00:00,1,4,3,66,11.11,58.93,False,Summer
67,2022-01-03 18:00:00,4,1,3,67,11.26,37.6,True,Monsoon
68,2022-01-03 19:00:00,3,4,72,68,7.45,49.12,True,Monsoon
69,2022-01-03 20:00:00,3,3,83,69,9.22,32.06,True,Winter
70,2022-01-03 21:00:00,1,6,79,70,19.33,15.04,True,Monsoon
71,2022-01-03 22:00:00,3,6,81,71,7.86,22.17,True,Autumn
72,2022-01-03 23:00:00,3,6,30,72,5.54,11.45,True,Summer
73,2022-01-04 00:00:00,3,4,12,73,5.25,68.62,False,Autumn
74,2022-01-04 01:00:00,3,4,60,74,9.43,66.41,False,Autumn
75,2022-01-04 02:00:00,4,2,26,75,15.31,95.11,False,Winter
76,2022-01-04 03:00:00,1,2,34,76,4.52,73.24,False,Summer
77,2022-01-04 04:00:00,2,2,90,77,14.33,6.15,False,Autumn
78,2022-01-04 05:00:00,2,5,22,78,0.91,88.54,False,Monsoon
79,2022-01-04 06:00:00,3,3,7,79,8.67,86.4,True,Monsoon
80,2022-01-04 07:00:00,4,3,52,80,15.63,44.89,True,Autumn
81,2022-01-04 08:00:00,3,4,80,81,7.11,59.0,True,Monsoon
82,2022-01-04 09:00:00,3,2,55,82,11.49,97.63,True,Autumn
83,2022-01-04 10:00:00,4,6,77,83,4.5,53.7,True,Autumn
84,2022-01-04 11:00:00,1,6,34,84,14.97,90.63,True,Autumn
85,2022-01-04 12:00:00,2,3,20,85,1.52,9.22,False,Autumn
86,2022-01-04 13:00:00,4,3,12,86,17.12,19.91,False,Autumn
87,2022-01-04 14:00:00,2,4,48,87,4.36,44.63,False,Winter
88,2022-01-04 15:00:00,4,4,22,88,17.55,58.89,False,Winter
89,2022-01-04 16:00:00,4,1,73,89,7.37,81.81,False,Autumn
90,2022-01-04 17:00:00,3,1,16,90,14.59,98.84,False,Winter
91,2022-01-04 18:00:00,1,4,2,91,6.72,39.5,True,Summer
92,2022-01-04 19:00:00,2,1,92,92,18.17,5.69,True,Monsoon
93,2022-01-04 20:00:00,1,3,68,93,2.97,80.32,True,Summer
94,2022-01-04 21:00:00,3,4,56,94,3.98,60.83,True,Monsoon
95,2022-01-04 22:00:00,4,4,99,95,10.11,20.66,True,Summer
96,2022-01-04 23:00:00,2,2,59,96,2.1,49.99,True,Monsoon
97,2022-01-05 00:00:00,1,3,87,97,4.32,74.49,False,Winter
98,2022-01-05 01:00:00,2,3,64,98,18.9,77.27,False,Autumn
99,2022-01-05 02:00:00,2,5,16,99,19.54,50.46,False,Summer
100,2022-01-05 03:00:00,2,5,29,100,7.84,31.22,False,Autumn
101,2022-01-05 04:00:00,1,2,92,101,18.5,97.4,False,Winter
102,2022-01-05 05:00:00,2,5,27,102,11.12,66.67,False,Autumn
103,2022-01-05 06:00:00,1,1,25,103,5.76,41.42,True,Autumn
104,2022-01-05 07:00:00,4,4,35,104,14.2,28.77,True,Winter
105,2022-01-05 08:00:00,1,6,37,105,13.35,73.38,True,Winter
106,2022-01-05 09:00:00,3,1,96,106,19.79,24.98,True,Winter
